"","13035P1","13035P2","13035P3","13035P4","14100P1","14100P2","14100P3","14100P4","14188P1","14188P2","14188P3","14188P4","14201P1","14201P2","14201P3","14201P4"
"Methanobacterium",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Methanobacterium_bryantii",0,0,0,0,4,9,0,0,0,0,0,3,0,0,0,16
"Methanobrevibacter",287,40,213,332,471,368,518,304,384,414,451,233,420,473,346,527
"Methanobrevibacter_arboriphilus",0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Methanosphaera",11,0,0,3,4,21,12,12,14,12,5,18,37,20,14,30
"uncl_Methanobacteriaceae",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Methanimicrococcus",283,32,183,41,0,0,0,107,6,5,12,0,0,0,0,6
"uncl_Methanomassiliicoccaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vadinCA11",148,113,145,351,171,286,92,176,295,233,108,42,86,147,116,160
"uncl_iii1.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_DS.18",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcanobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Actinomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacterium_casei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium",0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
"Corynebacterium_variabile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachybacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrococcus_jenensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arthrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Nocardiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardiopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Nocardiopsaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Propionibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",93,89,15,161,146,857,5,3,302,259,105,16,1026,182,288,175
"Bifidobacterium_adolescentis",4,9,0,26,4,43,0,0,2,19,0,0,98,13,26,6
"Bifidobacterium_animalis",0,0,0,11,0,0,0,0,3,0,2,21,0,0,2,0
"Bifidobacterium_bifidum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_breve",0,13,0,4,3,20,0,0,3,0,0,4,14,0,11,0
"Bifidobacterium_longum",0,3,0,6,5,12,0,0,12,8,0,0,25,5,5,12
"Bifidobacterium_pseudolongum",0,0,0,0,6,0,0,0,22,7,0,2,2,0,0,4
"Bifidobacterium_thermacidophilum",0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0
"Gardnerella",0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0
"uncl_Bifidobacteriaceae",22,8,23,34,4,17,0,0,24,20,3,0,76,17,9,9
"Scardovia",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Adlercreutzia",0,0,0,0,0,0,0,0,0,0,3,3,0,2,4,2
"Atopobium",2,4,0,3,8,19,3,3,13,3,10,25,34,29,12,25
"Atopobium_rimae",3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0
"Collinsella",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,4
"Collinsella_stercoris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Eggerthella_lenta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Coriobacteriaceae",63,43,42,96,105,127,451,50,133,106,87,498,657,466,96,141
"Slackia",0,0,2,0,0,5,2,0,0,0,2,0,0,0,0,0
"uncl_OPB41",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"X5.7N15",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Bacteroides",5,28,5,12,9,10,14,56,8,15,0,12,9,7,15,10
"Bacteroides_acidifaciens",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"Bacteroides_barnesiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_eggerthii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_fragilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_ovatus",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Bacteroides_uniformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"BF311",7,42,0,2,12,11,5,0,6,12,6,0,4,7,4,57
"uncl_Bacteroidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_BS11",9,7,3,82,69,109,28,8,55,16,27,5,0,53,12,146
"uncl_Bacteroidales",162,180,170,305,312,412,342,497,289,309,413,432,413,538,258,876
"uncl_p.2534.18B5",0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0
"CF231",36,15,44,18,28,33,295,37,24,122,30,19,249,70,42,86
"Paraprevotella",0,6,0,0,6,0,0,0,0,5,0,2,8,0,0,8
"X.Prevotella.",0,5,0,12,0,4,0,31,5,0,0,9,4,5,4,25
"uncl_.Paraprevotellaceae.",40,26,45,54,18,103,312,88,47,51,33,89,98,34,57,112
"YRC22",30,52,18,38,20,57,188,61,22,88,32,59,32,144,55,70
"Dysgonomonas",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Paludibacter",11,0,100,194,106,73,0,538,14,5,78,3,0,0,0,9
"Parabacteroides",0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0
"Parabacteroides_distasonis",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Porphyromonas",0,0,0,0,3,0,0,9,2,0,0,0,0,0,0,0
"uncl_Porphyromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tannerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",2202,2523,941,1144,2071,2378,5222,4406,1775,3716,1558,7176,7226,2689,3086,4263
"Prevotella_copri",25,6,0,30,2,0,20,2,9,20,10,8,19,13,33,32
"Prevotella_melaninogenica",10,0,0,0,8,0,82,26,14,0,3,39,9,23,12,8
"Prevotella_nanceiensis",35,0,0,0,22,12,11,0,10,5,2,0,6,15,4,0
"Prevotella_nigrescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_pallens",0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
"Prevotella_ruminicola",106,173,24,9,8,96,133,106,39,111,11,482,57,103,66,68
"Prevotella_stercorea",13,19,20,23,4,11,59,64,8,12,16,23,42,22,22,68
"uncl_Prevotellaceae",4,5,0,4,9,13,13,5,11,14,4,51,21,12,9,22
"uncl_RF16",99,683,190,244,207,216,991,143,184,391,87,0,6,235,221,434
"Blvii28",5,0,0,2,4,0,0,0,0,0,0,0,0,3,2,3
"Rikenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Rikenellaceae",0,0,4,0,3,2,3,0,6,0,0,15,0,0,0,0
"uncl_S24.7",67,42,32,125,103,208,215,43,121,180,189,292,424,183,267,124
"uncl_VC21_Bac22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gramella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"uncl_Flavobacteriaceae",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"X_uncl_Bacteroidetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sediminibacterium",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Saprospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SHD.231",25,0,11,9,10,13,0,32,13,13,25,0,0,20,10,98
"uncl_OPB11",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Bacteria",0,0,0,0,0,15,2,2,3,3,4,7,0,3,0,0
"uncl_YS2",72,15,34,19,41,21,190,84,34,60,50,355,3,13,162,101
"uncl_Streptophyta",0,0,0,0,0,5,0,2,0,0,2,0,9,4,0,0
"Elusimicrobium",0,0,0,0,0,0,0,8,0,5,0,0,0,2,0,0
"uncl_Elusimicrobiaceae",3,2,2,2,0,0,0,0,4,14,0,17,65,0,0,5
"uncl_Elusimicrobiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Endomicrobia",25,0,4,21,4,7,0,28,0,32,40,9,0,0,0,14
"Fibrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibrobacter_succinogenes",340,566,74,175,176,884,30,829,122,632,213,5,16,497,314,679
"uncl_Fibrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Paenibacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Planomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"uncl_Planococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeotgalicoccus_psychrophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Staphylococcus_epidermidis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aerococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloiococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"uncl_Lactobacillales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_acidipiscis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_ruminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Lactobacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Leuconostocaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactococcus",0,0,0,2,0,6,3,0,0,0,0,0,0,0,0,0
"Streptococcus",0,8,0,5,19,21,10,9,4,4,2,7,10,9,0,2
"Streptococcus_alactolyticus",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_infantis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_luteciae",0,3,0,7,7,56,12,13,3,2,4,4,13,12,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Acidaminobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Acidaminobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Christensenellaceae",5,5,2,26,14,34,21,36,13,15,11,26,17,7,11,51
"X02d06",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"Alkaliphilus",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Alkaliphilus_transvaalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium",51,15,5,25,19,100,25,23,53,27,41,66,55,44,24,120
"Clostridium_butyricum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_neonatale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Clostridiaceae",6,7,5,11,14,18,12,17,7,17,17,35,27,19,21,16
"Sarcina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMB53",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dehalobacterium",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"uncl_Dehalobacteriaceae",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Anaerofustis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoramibacter_Eubacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Gracilibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Clostridiales",478,430,534,691,1180,1563,1886,1913,1020,1471,1100,4827,2430,1891,1262,1856
"Anaerostipes",0,0,0,4,2,3,6,22,3,4,3,38,3,3,0,6
"Blautia",42,15,28,63,82,140,153,84,45,74,114,275,206,51,56,120
"Blautia_obeum",0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0
"Blautia_producta",0,0,2,0,11,9,26,5,4,8,0,8,8,3,5,3
"Butyrivibrio",235,174,242,353,631,737,1336,531,425,297,502,1119,1247,860,482,707
"Catonella",0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
"Coprococcus",19,24,26,23,48,176,114,155,46,56,62,680,366,133,83,91
"Coprococcus_catus",0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3
"Coprococcus_eutactus",0,0,0,0,4,0,3,4,0,0,0,25,0,0,0,2
"Dorea",2,2,3,0,16,16,4,20,5,8,7,23,35,6,9,0
"Dorea_formicigenerans",0,0,0,0,0,2,0,0,0,0,0,5,2,0,0,0
"Epulopiscium",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Lachnobacterium",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Lachnospira",0,0,0,0,0,0,6,0,3,0,2,8,0,0,0,0
"Moryella",26,5,7,30,29,62,77,35,34,57,69,103,302,79,38,59
"Oribacterium",0,0,0,0,0,0,3,0,3,25,0,6,0,0,0,2
"Pseudobutyrivibrio",23,18,17,30,64,209,64,63,43,33,46,175,143,35,23,30
"Roseburia",0,2,0,5,3,41,33,9,3,6,5,52,24,0,13,3
"Roseburia_faecis",0,0,0,0,0,0,0,0,0,0,0,16,62,2,0,3
"Ruminococcus",0,2,0,0,6,6,5,0,0,0,4,16,9,0,0,5
"Ruminococcus_gnavus",2,0,0,3,0,14,6,0,8,0,0,8,24,2,3,7
"Ruminococcus_torques",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"uncl_Lachnospiraceae",243,268,221,370,478,1041,1424,618,526,550,769,2426,2517,862,651,1081
"Shuttleworthia",0,24,8,3,12,18,10,7,4,6,3,39,145,32,50,29
"Anaerovorax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium",25,23,30,60,77,147,128,34,107,48,100,173,200,88,66,94
